Predicted	Measured
2.580583095550537109e-01	1.266615009307861328e+01
3.079313039779663086e-01	6.153729915618896484e+00
3.189940750598907471e-01	2.219379901885986328e+00
1.683367729187011719e+01	1.912252044677734375e+01
1.668853950500488281e+01	1.240834045410156250e+01
3.235156536102294922e-01	4.710010051727294922e+00
1.239091587066650391e+01	1.490793991088867188e+01
4.863907694816589355e-01	1.338352012634277344e+01
2.969145178794860840e-01	2.119620084762573242e+00
1.503131771087646484e+01	1.210569953918457031e+01
1.328428363800048828e+01	9.919949531555175781e+00
2.537273168563842773e-01	1.225142002105712891e+01
1.308595180511474609e+01	1.345077991485595703e+01
2.363172322511672974e-01	1.580465984344482422e+01
2.643232941627502441e-01	1.146679019927978516e+01
1.361661338806152344e+01	1.657807922363281250e+01
2.073180377483367920e-01	1.412331962585449219e+01
1.180561733245849609e+01	1.346199035644531250e+01
1.535956001281738281e+01	1.359648990631103516e+01
1.112542533874511719e+01	9.415539741516113281e+00
3.752139806747436523e-01	1.871899962425231934e+00
2.056382179260253906e+00	1.482948017120361328e+01
2.038199007511138916e-01	1.311450958251953125e+01
2.415293455123901367e-01	2.369580030441284180e+00
2.631562948226928711e-01	4.010000228881835938e+00
1.094226551055908203e+01	9.718190193176269531e+00
1.503192996978759766e+01	1.209449005126953125e+01
1.694054222106933594e+01	1.898801040649414062e+01
2.143202871084213257e-01	1.434749960899353027e+00
2.439177930355072021e-01	1.737392044067382812e+01
1.368565368652343750e+01	1.275582027435302734e+01
2.744674086570739746e-01	7.745409965515136719e+00
2.253843247890472412e-01	1.681347084045410156e+01
3.929470777511596680e-01	1.524420022964477539e+00
1.359855937957763672e+01	1.320417976379394531e+01
1.602446174621582031e+01	1.912252044677734375e+01
3.132498860359191895e-01	2.629630088806152344e+00
1.357656097412109375e+01	1.535630035400390625e+01
2.687683105468750000e-01	2.174540042877197266e+00
1.184699440002441406e+01	1.422420024871826172e+01
1.386148452758789062e+01	1.670137977600097656e+01
1.335497474670410156e+01	1.281186008453369141e+01
1.621017336845397949e+00	1.067094993591308594e+01
3.232453465461730957e-01	3.710170030593872070e+00
5.989712238311767578e+00	2.230587005615234375e+01
3.026538491249084473e-01	4.959969997406005859e+00
1.502927875518798828e+01	1.165734004974365234e+01
1.419295406341552734e+01	1.602883911132812500e+01
3.344952464103698730e-01	3.060050010681152344e+00
9.983452796936035156e+00	1.212812042236328125e+01
3.524727523326873779e-01	2.702490091323852539e+00
2.483002245426177979e-01	4.259409904479980469e+00
1.052825832366943359e+01	1.209449005126953125e+01
2.718458175659179688e-01	8.048049926757812500e+00
3.630450963973999023e-01	1.947000026702880859e+00
1.385404300689697266e+01	1.422420024871826172e+01
2.527048587799072266e-01	2.231707954406738281e+01
2.605454325675964355e-01	1.258769035339355469e+01
1.534570121765136719e+01	1.376463031768798828e+01
1.436584091186523438e+01	1.347319030761718750e+01
2.446685582399368286e-01	1.333868980407714844e+01
3.147853016853332520e-01	3.046600103378295898e+00
2.941217124462127686e-01	1.636510014533996582e+00
2.867806553840637207e-01	1.156766986846923828e+01
2.240651249885559082e-01	1.336110973358154297e+01
1.386427879333496094e+01	1.274460983276367188e+01
1.391494655609130859e+01	1.266615009307861328e+01
2.425648868083953857e-01	1.899921989440917969e+01
1.476251697540283203e+01	1.604005050659179688e+01
