name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
           HATS-29 b,207.54195,0.05475,1211.33432,1.06837,1.032,1.073,5670,14.02243
         Kepler-25 c,14.30228,0.11,1049.54844,2.43798,1.22,1.36,6190,5.15389
            KELT-8 b,277.78203,0.04571,1677.34471,2.74475,1.211,1.67,5754,20.8487
          WASP-156 b,40.68204,0.0453,969.77835,0.3014,0.842,0.76,4910,5.71658
          WASP-111 b,587.98255,0.03914,2121.7232,5.1553,1.5,1.85,6400,16.16335
        TRAPPIST-1 b,0.85814,0.01111,400.59836,0.00053,0.08,0.117,2560,1.08604
            K2-287 b,100.11595,0.1206,844.94248,1.08127,1.056,1.07,5695,9.49401
           HATS-36 b,886.74125,0.0529,1378.57299,1.6042,1.135,1.186,5970,14.15694
           CoRoT-8 b,68.58737,0.063,856.39101,0.35451,0.88,0.77,5080,6.38015
           WASP-82 b,394.10722,0.0447,2188.8759,7.61653,1.63,2.18,6500,18.719
            HATS-7 b,38.13941,0.04012,1083.41989,0.36827,0.849,0.815,4985,6.31066
           CoRoT-9 b,266.97586,0.407,413.13446,0.79421,0.99,0.94,5625,10.53644
           GJ 3470 b,12.57965,0.03557,647.967,0.0368,0.51,0.48,3652,4.19
          HAT-P-57 b,587.98255,0.0406,2198.25047,6.39173,1.47,1.5,7500,15.83829
          HAT-P-46 b,156.6894,0.0577,1454.34387,2.45452,1.284,1.396,6120,14.39233
          HAT-P-21 b,1291.33682,0.0494,1282.93721,1.06891,0.947,1.105,5588,11.478
          HD 46375 b,73.10053,0.041,1238.54118,0.65595,0.91,1,5199,11.43316
           NGTS-3A b,756.43161,0.023,1707.9142,0.74744,1.017,0.93,5570,16.58929
           WASP-12 b,467.20776,0.0234,2580.73694,4.03333,1.434,1.657,6360,21.29706
            K2-140 b,295.58042,0.068,1065.22749,0.98151,0.96,1.06,5585,13.56287
          HAT-P-32 b,273.33243,0.0343,1840.14018,2.23995,1.176,1.387,6001,20.05287
             EP212 b,15192.19784,0.0621,1429.78523,2.65264,1.1241,1.4,6231,9.18016
            WASP-5 b,520.2851,0.02729,1732.29171,1.11365,1,1.084,5700,13.12572
           CoRoT-4 b,228.83645,0.09,1066.96854,1.74321,1.1,1.15,6190,13.33869
            TrES-3 b,607.05226,0.0226,1654.32327,0.63527,0.924,0.813,5720,14.62772
           Qatar-6 b,212.30938,0.0423,1006.45661,0.30487,0.822,0.722,5052,11.90394
           WASP-41 b,298.7587,0.04,1320.67879,0.80801,0.95,1.01,5450,13.2266
            K2-139 b,121.09262,0.1811,555.5621,0.51883,0.918,0.86,5287,9.10169
          CoRoT-31 b,266.97586,0.0586,1568.5549,3.45116,1.25,2.15,5370,16.36511
           WASP-25 b,184.34048,0.0474,1241.29148,0.88575,1,0.95,5750,14.12332
        Kepler-411 d,15.1922,0.279,404.43369,0.34298,0.83,0.79,4974,3.31898
           HATS-64 b,295.58042,0.0656,1795.29169,7.42343,1.562,2.113,6560,18.76383
       OGLE-TR-132 b,371.85924,0.0306,1981.60269,2.39754,1.26,1.34,6210,13.78705
           TOI 125 b,8.48602,0.0521,1034.38397,0.5073,0.871,0.852,5282,2.75506
           HATS-42 b,597.5174,0.03689,1863.40248,2.65219,1.273,1.48,6060,15.69257
        HIP 116454 b,11.82322,0.098,666.86811,0.30871,0.775,0.716,5089,2.53323
           HAT-P-9 b,212.94503,0.053,1528.11505,2.54351,1.28,1.32,6350,15.69257
           TOI-216 c,189.1079,0.2068,488.31062,0.40232,0.874,0.838,5026,11.27063
           TOI 125 c,8.61315,0.0818,822.44088,0.5073,0.871,0.852,5282,2.78992
           TOI-270 b,1.90697,0.0306,575.37546,0.01704,0.4,0.38,3386,1.247
            K2-108 b,59.43391,0.0573,1464.76455,2.4688,1.121,1.75,5474,5.27943
          WASP-126 b,88.99195,0.0449,1493.57831,1.63874,1.12,1.27,5800,10.76062
          HD 21749 b,23.20147,0.1914,428.49308,0.20102,0.73,0.695,4640,2.83598
            K2-106 c,5.72091,0.105,791.48145,0.70672,0.93,0.83,5814,2.46598
           HD 7924 b,8.67672,0.05664,926.78729,0.39237,0.832,0.78,5177,11.76943
            K2-290 c,245.99919,0.305,676.38506,3.2332,1.194,1.511,6302,11.27623
         Kepler-10 b,3.33084,0.01685,2189.2124,1.081,0.91,1.065,5708,1.4695
          HAT-P-27 b,209.76675,0.0403,1207.33031,0.57128,0.945,0.898,5300,11.82547
          CoRoT-29 b,270.15415,0.039,1219.47879,0.5567,0.976,0.9,5260,10.08808
            K2-110 b,16.68599,0.1021,638.91456,0.28755,0.738,0.713,5010,2.59152
            K2-229 b,2.5903,0.01289,1961.21808,0.40807,0.837,0.793,5185,1.16405
           HATS-32 b,292.40213,0.04024,1480.80863,1.14052,1.099,1.097,5700,14.00002
           HATS-15 b,689.68764,0.02712,1493.24207,0.60724,0.871,0.922,5311,12.38592
         HD 106315 b,12.586,0.09012,1110.53994,1.95685,1.07,1.18,6290,2.44356
