name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
           WASP-76 b,292.40213,0.033,2182.12385,4.10018,1.46,1.73,6250,20.51243
           WASP-47 b,359.1461,0.052,1229.85753,1.02726,1.11,1.16,5400,13.11451
    Kepler-35 (AB) b,40.30064,0.60347,348.06022,0.88675,1.6971,1,5606,8.16014
          WASP-189 b,676.97451,0.0497,2640.01169,19.92478,1.887,2.33,7996,15.40114
          WASP-141 b,854.95841,0.0469,1537.65595,2.04192,1.25,1.37,5900,13.56287
           WASP-55 b,181.16219,0.0533,1239.07411,1.11199,1.013,1.011,5900,14.57167
           HATS-53 b,189.1079,0.04753,1328.28703,1.10236,0.964,1.1,5644,15.02003
        Kepler-289 d,131.89879,0.51,404.46004,1.15584,1.08,1,5990,11.59009
         WASP-70 A b,187.51876,0.04853,1390.48053,1.46197,1.106,1.215,5763,13.04725
          HD 17156 b,1015.46176,0.1623,964.63447,2.78819,1.275,1.508,6079,12.27383
          HAT-P-65 b,167.49557,0.03951,1953.4259,3.60064,1.212,1.86,5835,21.18497
       OGLE-TR-211 b,238.3713,0.051,1729.54021,3.86474,1.33,1.64,6325,14.12332
           WASP-46 b,667.75748,0.02448,1658.6264,0.75314,0.956,0.917,5620,14.68376
           WASP-26 b,326.7276,0.03985,1663.75165,2.02054,1.12,1.34,5950,14.3587
       OGLE-TR-113 b,394.10722,0.0229,1324.41078,0.26793,0.78,0.765,4752,12.44197
          HD 33283 b,104.88337,0.168,795.68078,1.66997,1.24,1.2,5995,11.09689
           WASP-67 b,133.48793,0.0517,1028.6106,0.49687,0.87,0.87,5200,15.69257
           HATS-19 b,135.71273,0.0589,1563.60689,3.28488,1.303,1.74,5896,18.60691
          WASP-147 b,87.40281,0.0549,1402.78287,1.93804,1.044,1.429,5702,12.49801
         Kepler-11 e,9.53485,0.194,652.19447,1.13076,0.95,1.1,5680,4.19216
          HAT-P-31 b,690.00547,0.055,1465.59061,2.24694,1.218,1.36,6065,11.99361
        OGLE-TR-10 b,216.12332,0.04162,1546.52711,1.64548,1.18,1.16,6075,19.27945
           CoRoT-3 b,6884.16329,0.057,1589.45607,3.44351,1.41,1.44,6558,13.33869
            HATS-9 b,266.65803,0.03048,1808.83209,1.63771,1.03,1.5,5336,11.93756
       OGLE-TR-182 b,336.89811,0.051,1350.5656,1.43701,1.14,1.14,5924,16.4772
           WASP-91 b,425.89006,0.037,1143.79124,0.38909,0.84,0.86,4920,11.54525
         HD 159868 c,244.09222,1.032,385.02788,3.82038,1.19,2.13,5534,14.2242
           WASP-95 b,359.1461,0.03416,1561.42807,1.15181,1.11,1.13,5630,13.56287
    EPIC 219388192 b,11441.82264,0.0593,1169.50896,1.07265,0.99,1.01,5850,9.4828
         HD 286123 b,126.49571,0.104,1000.0683,1.73574,1.188,1.161,6154,11.20898
         Kepler-68 b,5.97517,0.0617,1253.86716,1.56224,1.079,1.243,5793,2.30905
           WASP-14 b,2333.17833,0.036,1882.3738,2.69176,1.211,1.306,6475,14.3587
          HAT-P-49 b,549.84314,0.0438,2127.46219,6.52609,1.543,1.833,6820,15.83829
           WASP-78 b,368.68095,0.0415,2194.54795,6.63336,2.02,2.31,6100,19.61572
           HAT-P-3 b,187.83659,0.03866,1145.19365,0.42687,0.917,0.799,5224,9.26983
          HAT-P-48 b,53.39517,0.0543,1360.72861,1.67858,1.099,1.223,5946,12.67736
        Kepler-41  b,155.73592,0.029,1575.21302,0.85983,0.94,0.966,5660,9.42675
             K2-55 b,43.86032,0.0347,943.04243,0.15692,0.688,0.715,4300,4.42979
         Kepler-20 b,9.69377,0.0463,1190.27499,0.71419,0.912,0.944,5466,1.86854
          HD 97658 b,7.54842,0.08,753.65323,0.34182,0.85,0.73,5170,2.24706
          CoRoT-14 b,2415.49589,0.027,1948.14544,1.74369,1.13,1.21,6035,12.21779
        TRAPPIST-1 f,0.66744,0.0371,219.21953,0.00053,0.08,0.117,2560,1.04501
          HD 33142 b,440.19234,1.07,484.81554,10.48053,1.54,4.36,4978,13.84309
            KELT-6 b,140.48016,0.08,1322.34194,3.2481,1.126,1.529,6272,13.2266
          Kepler-9 b,43.51071,0.143,765.6365,1.16457,1,1.1,5722,8.20497
           HD 2685 b,375.03752,0.0568,1724.17654,4.73457,1.44,1.57,6801,16.14093
           HATS-20 b,86.76716,0.04619,1187.50413,0.61013,0.91,0.892,5406,8.69817
           GJ 9827 d,3.81394,0.0627,661.13414,0.12472,0.659,0.651,4255,2.08487
           HD 1502 b,874.02812,1.262,458.94027,11.72714,1.46,4.67,4947,13.26022
               Venus,0.815,0.723,327.61907,1,1,1,5777,0.949
             Neptune,17.1,30.05,50.81828,1,1,1,5777,3.88
                Mars,0.107,1.52,226.2016,1,1,1,5777,0.532
             Mercury,0.0553,0.387,450.20562,1,1,1,5777,0.383
              Saturn,95.2,9.58,90.03877,1,1,1,5777,9.45
             Jupiter,317.8,5.2,122.19811,1,1,1,5777,11.21
