Predicted	Measured
4.877637624740600586e-01	5.138852000236511230e-01
4.877640604972839355e-01	2.705633342266082764e-01
4.877638220787048340e-01	4.694525599479675293e-01
4.877677857875823975e-01	7.159481048583984375e-01
4.877654314041137695e-01	3.517587855458259583e-02
4.877552986145019531e-01	5.768315792083740234e-01
4.877644777297973633e-01	6.926738619804382324e-01
4.877665638923645020e-01	7.593229413032531738e-01
4.877625107765197754e-01	4.945781454443931580e-02
4.877626299858093262e-01	5.339856743812561035e-01
4.877479970455169678e-01	8.428987264633178711e-01
4.876850843429565430e-01	5.826501250267028809e-01
4.877675473690032959e-01	1.877810060977935791e-02
4.877645969390869141e-01	4.652208685874938965e-01
4.877645671367645264e-01	7.561491131782531738e-01
4.877657294273376465e-01	1.219254210591316223e-01
4.877666234970092773e-01	7.021951079368591309e-01
4.877642989158630371e-01	3.266331553459167480e-01
4.876999258995056152e-01	4.969584941864013672e-01
4.877626299858093262e-01	3.911663591861724854e-01
4.877625703811645508e-01	7.336684036999940872e-03
4.877592921257019043e-01	6.715154647827148438e-01
4.877644181251525879e-01	5.445649623870849609e-01
4.877660870552062988e-01	5.866173282265663147e-02
4.877637028694152832e-01	7.402803301811218262e-01
4.877645969390869141e-01	4.916688203811645508e-01
4.877652525901794434e-01	7.085426449775695801e-01
4.877639114856719971e-01	6.503570675849914551e-01
4.877649545669555664e-01	5.773604512214660645e-01
4.877647757530212402e-01	9.061095118522644043e-02
4.877642989158630371e-01	7.667283415794372559e-01
4.877661168575286865e-01	7.093362510204315186e-02
4.877643287181854248e-01	1.809045076370239258e-01
4.877722859382629395e-01	5.815921425819396973e-01
4.877648055553436279e-01	4.451203644275665283e-01
4.877668619155883789e-01	5.175879001617431641e-01
4.877665042877197266e-01	3.329806923866271973e-01
4.877633452415466309e-01	5.323988199234008789e-01
4.877677559852600098e-01	4.229039847850799561e-01
4.877650439739227295e-01	4.879661202430725098e-01
4.877655804157257080e-01	7.291721701622009277e-01
4.877648949623107910e-01	3.123512268066406250e-01
4.877679347991943359e-01	5.630785226821899414e-01
4.877654612064361572e-01	5.995768308639526367e-01
4.877658784389495850e-01	4.070351719856262207e-01
4.877662658691406250e-01	4.927268028259277344e-01
4.877645373344421387e-01	3.578418493270874023e-01
4.877661764621734619e-01	1.454641576856374741e-02
4.877668619155883789e-01	6.344882845878601074e-01
4.877626299858093262e-01	5.445649623870849609e-01
4.877671599388122559e-01	0.000000000000000000e+00
4.877666831016540527e-01	7.326104491949081421e-02
4.877616763114929199e-01	6.180904507637023926e-01
4.877649545669555664e-01	7.037819623947143555e-01
4.877668023109436035e-01	6.397778391838073730e-01
4.877673089504241943e-01	7.032530903816223145e-01
4.877660870552062988e-01	6.514149308204650879e-01
4.877647161483764648e-01	5.181168913841247559e-01
4.877626299858093262e-01	5.974609851837158203e-01
4.877670109272003174e-01	5.181168913841247559e-01
4.877556860446929932e-01	5.286961197853088379e-01
4.877670407295227051e-01	9.124570339918136597e-02
4.877661466598510742e-01	7.037819623947143555e-01
4.877650141716003418e-01	5.487966537475585938e-01
4.877668023109436035e-01	6.133297681808471680e-01
4.877657592296600342e-01	7.222956418991088867e-01
4.877642393112182617e-01	7.773075699806213379e-01
4.877645671367645264e-01	8.947367668151855469e-01
4.877644479274749756e-01	5.763025879859924316e-01
4.877664148807525635e-01	1.478444933891296387e-01
4.877669513225555420e-01	6.281406879425048828e-01
4.877632260322570801e-01	4.810896813869476318e-01
4.877597391605377197e-01	6.180904507637023926e-01
4.877659380435943604e-01	5.821211338043212891e-01
4.877180457115173340e-01	5.927003622055053711e-01
4.877648353576660156e-01	5.408622026443481445e-01
4.877651035785675049e-01	8.492461442947387695e-01
4.877664446830749512e-01	5.514413714408874512e-01
4.877676665782928467e-01	4.149695932865142822e-01
4.877653121948242188e-01	6.609362363815307617e-01
4.877651631832122803e-01	5.604337453842163086e-01
4.877664446830749512e-01	8.434275984764099121e-01
4.877677857875823975e-01	4.504099190235137939e-01
4.877678155899047852e-01	4.686590656638145447e-02
4.877653121948242188e-01	1.000000000000000000e+00
4.877659976482391357e-01	7.878867387771606445e-01
4.877669513225555420e-01	1.691087037324905396e-01
4.876421391963958740e-01	5.191748738288879395e-01
4.877656400203704834e-01	7.212377786636352539e-01
4.877619743347167969e-01	2.406770922243595123e-02
4.877644181251525879e-01	5.249934196472167969e-01
4.877671003341674805e-01	7.185929417610168457e-01
4.877665638923645020e-01	4.996032416820526123e-01
4.877667427062988281e-01	9.994710087776184082e-01
4.877744019031524658e-01	7.349907159805297852e-01
4.877645373344421387e-01	3.763554394245147705e-01
4.877650141716003418e-01	5.482676625251770020e-01
4.877676963806152344e-01	8.492461442947387695e-01
4.877671003341674805e-01	5.157366022467613220e-02
4.877676069736480713e-01	7.138322591781616211e-01
4.877653419971466064e-01	5.175879001617431641e-01
