Predicted	Measured
1.936866521835327148e+00	1.067094993591308594e+01
1.580732631683349609e+01	1.604005050659179688e+01
1.936866521835327148e+00	1.098480033874511719e+01
1.481554508209228516e+01	1.376463031768798828e+01
1.082602119445800781e+01	1.490793991088867188e+01
2.087068176269531250e+01	1.625301933288574219e+01
1.671975708007812500e+01	1.490793991088867188e+01
1.301414012908935547e+01	1.670137977600097656e+01
1.936866521835327148e+00	1.281970024108886719e+00
1.936866521835327148e+00	2.174540042877197266e+00
1.936866521835327148e+00	1.524420022964477539e+00
1.936866521835327148e+00	1.947000026702880859e+00
2.008594894409179688e+01	1.714974021911621094e+01
1.591920757293701172e+01	1.361890983581542969e+01
1.470825290679931641e+01	1.681347084045410156e+01
1.936866521835327148e+00	1.635390090942382812e+01
1.936866521835327148e+00	1.156766986846923828e+01
1.631007766723632812e+01	1.422420024871826172e+01
1.307678794860839844e+01	1.502003002166748047e+01
1.936866521835327148e+00	1.126500010490417480e+00
1.936866521835327148e+00	1.336110973358154297e+01
1.286072063446044922e+01	1.513212013244628906e+01
1.400871849060058594e+01	1.277824020385742188e+01
1.304248142242431641e+01	1.368616962432861328e+01
1.936866521835327148e+00	4.259409904479980469e+00
4.972595214843750000e+00	1.431387042999267578e+01
1.936866521835327148e+00	1.378705024719238281e+01
1.199696350097656250e+01	9.415539741516113281e+00
1.936866521835327148e+00	1.482948017120361328e+01
2.798274517059326172e+00	1.759810066223144531e+01
1.936866521835327148e+00	1.899921989440917969e+01
3.907353639602661133e+00	4.010000228881835938e+00
1.622929573059082031e+01	2.008649063110351562e+01
1.093908882141113281e+01	1.210569953918457031e+01
1.936866521835327148e+00	2.678950071334838867e+00
1.175115394592285156e+01	1.032347011566162109e+01
1.587874126434326172e+01	1.657807922363281250e+01
1.421446418762207031e+01	1.692555999755859375e+01
1.936866521835327148e+00	1.636510014533996582e+00
1.557797908782958984e+01	1.275582027435302734e+01
1.237747859954833984e+01	1.209449005126953125e+01
1.447065830230712891e+01	1.535630035400390625e+01
1.133790683746337891e+01	1.346199035644531250e+01
1.484142017364501953e+01	1.614093017578125000e+01
1.335489273071289062e+01	1.643236923217773438e+01
1.649873733520507812e+01	1.457166957855224609e+01
1.632894515991210938e+01	1.898801040649414062e+01
1.194406318664550781e+01	1.055885982513427734e+01
1.936866521835327148e+00	1.266615009307861328e+01
1.324711894989013672e+01	1.212812042236328125e+01
1.936866521835327148e+00	1.434749960899353027e+00
2.145106506347656250e+01	1.573740959167480469e+01
