Predicted	Measured
1.156475448608398438e+01	9.415539741516113281e+00
2.085823774337768555e+00	1.171337985992431641e+01
2.142837762832641602e+00	1.311450958251953125e+01
1.459877252578735352e+00	1.012170982360839844e+01
1.266158866882324219e+01	1.347319030761718750e+01
7.895077705383300781e+00	1.431387042999267578e+01
6.475154876708984375e+00	1.502003002166748047e+01
4.179510116577148438e+00	8.182559967041015625e+00
1.510397815704345703e+01	1.359648990631103516e+01
2.074322223663330078e+00	1.258769035339355469e+01
1.504685688018798828e+01	1.210569953918457031e+01
1.831225585937500000e+01	1.912252044677734375e+01
1.206679344177246094e+01	1.368616962432861328e+01
2.136272192001342773e+00	1.132106971740722656e+01
1.421303868293762207e+00	1.899921989440917969e+01
1.603041648864746094e+01	1.782228088378906250e+01
1.356639862060546875e+01	1.232987976074218750e+01
1.951749610900878906e+01	1.714974021911621094e+01
1.145481228828430176e+00	2.219379901885986328e+00
1.432899856567382812e+01	1.513212013244628906e+01
1.023536682128906250e+00	6.153729915618896484e+00
2.134844064712524414e+00	1.600642013549804688e+01
1.797654914855957031e+01	1.640995025634765625e+01
1.294425487518310547e+00	1.378705024719238281e+01
2.041049718856811523e+00	1.266615009307861328e+01
1.136267375946044922e+01	1.346199035644531250e+01
1.171500563621520996e+00	1.434749960899353027e+00
1.156388044357299805e+00	6.859899997711181641e+00
1.178658604621887207e+00	2.119620084762573242e+00
1.137404084205627441e+00	1.281970024108886719e+00
1.475856590270996094e+01	1.274460983276367188e+01
1.571578598022460938e+01	1.361890983581542969e+01
1.353207707405090332e+00	1.635390090942382812e+01
7.886677384376525879e-01	3.060050010681152344e+00
1.311369037628173828e+01	1.277824020385742188e+01
1.098343467712402344e+01	1.055885982513427734e+01
1.265225505828857422e+01	1.670137977600097656e+01
1.546427631378173828e+01	1.376463031768798828e+01
1.156942725181579590e+00	1.126500010490417480e+00
8.769153356552124023e-01	2.702490091323852539e+00
6.319090843200683594e+00	4.010000228881835938e+00
1.323119640350341797e+01	1.490793991088867188e+01
1.448410606384277344e+01	1.275582027435302734e+01
2.182705402374267578e+00	1.580465984344482422e+01
1.222098159790039062e+01	1.107446956634521484e+01
1.417591953277587891e+01	1.240834045410156250e+01
8.055053949356079102e-01	1.524420022964477539e+00
1.452538299560546875e+01	1.614093017578125000e+01
1.254835128784179688e+01	1.721698951721191406e+01
1.189182043075561523e+00	4.710010051727294922e+00
1.093614101409912109e+01	1.154524993896484375e+01
1.784477233886718750e+01	1.422420024871826172e+01
1.735675239562988281e+01	1.657807922363281250e+01
1.665614485740661621e+00	1.225142002105712891e+01
9.326586723327636719e-01	1.871899962425231934e+00
1.800138664245605469e+01	1.912252044677734375e+01
1.676857185363769531e+01	1.604005050659179688e+01
1.269253253936767578e+00	2.629630088806152344e+00
2.077409267425537109e+00	1.412331962585449219e+01
9.942752122879028320e-01	2.369580030441284180e+00
1.440358638763427734e+01	1.602883911132812500e+01
1.327520489692687988e+00	1.098480033874511719e+01
1.194508934020996094e+01	1.490793991088867188e+01
1.214162349700927734e+01	1.305846023559570312e+01
2.015182971954345703e+00	9.430000305175781250e+00
3.118182659149169922e+00	2.231707954406738281e+01
1.269354820251464844e+01	1.008808040618896484e+01
1.361930084228515625e+01	1.320417976379394531e+01
1.229537010192871094e+01	1.209449005126953125e+01
1.750976943969726562e+01	2.008649063110351562e+01
1.246026396751403809e+00	3.710170030593872070e+00
1.230495357513427734e+01	1.209449005126953125e+01
1.289092731475830078e+01	1.201603031158447266e+01
2.088489294052124023e+00	1.336110973358154297e+01
1.172641992568969727e+00	3.046600103378295898e+00
1.175082683563232422e+00	4.959969997406005859e+00
1.383427429199218750e+01	1.334990024566650391e+01
1.502365016937255859e+01	1.383187961578369141e+01
1.272575855255126953e+00	1.636510014533996582e+00
1.194580078125000000e+00	2.678950071334838867e+00
1.392928123474121094e+01	9.919949531555175781e+00
1.589096736907958984e+01	1.692555999755859375e+01
3.833849430084228516e+00	1.338352012634277344e+01
1.173277187347412109e+01	1.266615009307861328e+01
1.532480049133300781e+01	1.629785919189453125e+01
1.117212104797363281e+01	9.718190193176269531e+00
2.013496160507202148e+00	1.067094993591308594e+01
1.157037258148193359e+01	1.244196987152099609e+01
1.063475990295410156e+01	1.625301933288574219e+01
9.394548416137695312e+00	1.340594005584716797e+01
1.860327529907226562e+01	1.681347084045410156e+01
1.198030233383178711e+00	4.864699840545654297e+00
1.157567882537841797e+01	1.032347011566162109e+01
1.201520252227783203e+01	1.210569953918457031e+01
1.005558729171752930e+00	1.000000000000000000e+00
2.465943813323974609e+00	1.146679019927978516e+01
1.338238334655761719e+01	1.345077991485595703e+01
1.054177856445312500e+01	1.422420024871826172e+01
1.630660247802734375e+01	1.457166957855224609e+01
1.420619249343872070e+00	1.156766986846923828e+01
1.626396656036376953e+00	9.751810073852539062e+00
1.963506317138671875e+01	1.573740959167480469e+01
1.432062339782714844e+01	1.281186008453369141e+01
1.405054378509521484e+01	1.759810066223144531e+01
1.267327117919921875e+01	1.345077991485595703e+01
7.153220176696777344e+00	1.681347084045410156e+01
1.963950753211975098e+00	1.737392044067382812e+01
1.895207786560058594e+01	1.165734004974365234e+01
5.738333702087402344e+00	1.333868980407714844e+01
6.698720932006835938e+00	1.482948017120361328e+01
