Predicted	Measured
1.048851394653320312e+01	1.154524993896484375e+01
1.597981643676757812e+01	1.376463031768798828e+01
1.816288828849792480e+00	1.258769035339355469e+01
1.416375923156738281e+01	1.277824020385742188e+01
1.499429893493652344e+01	1.361890983581542969e+01
1.234047889709472656e+01	1.032347011566162109e+01
1.048851394653320312e+01	9.415539741516113281e+00
1.816288828849792480e+00	1.947000026702880859e+00
8.800554275512695312e+00	1.165734004974365234e+01
1.207357215881347656e+01	1.604005050659179688e+01
1.085094356536865234e+01	1.490793991088867188e+01
1.816288828849792480e+00	1.871899962425231934e+00
1.281861686706542969e+01	9.919949531555175781e+00
1.419648933410644531e+01	1.345077991485595703e+01
1.450240707397460938e+01	1.210569953918457031e+01
1.284565162658691406e+01	1.209449005126953125e+01
1.091683769226074219e+01	1.107446956634521484e+01
1.816288828849792480e+00	3.046600103378295898e+00
1.816288828849792480e+00	1.000000000000000000e+00
1.048851394653320312e+01	2.230587005615234375e+01
1.428921127319335938e+01	1.274460983276367188e+01
1.127395439147949219e+01	1.201603031158447266e+01
1.816288828849792480e+00	1.636510014533996582e+00
2.840073585510253906e+00	1.146679019927978516e+01
1.816288828849792480e+00	4.959969997406005859e+00
1.492458724975585938e+01	1.359648990631103516e+01
2.145505332946777344e+01	1.714974021911621094e+01
1.306395721435546875e+01	1.281186008453369141e+01
1.816288828849792480e+00	1.378705024719238281e+01
1.816288828849792480e+00	4.259409904479980469e+00
1.307835578918457031e+01	1.681347084045410156e+01
1.816288828849792480e+00	3.060050010681152344e+00
1.816288828849792480e+00	2.369580030441284180e+00
1.816288828849792480e+00	1.737392044067382812e+01
1.168788909912109375e+01	1.266615009307861328e+01
1.816288828849792480e+00	2.219379901885986328e+00
1.816288828849792480e+00	1.281970024108886719e+00
1.383239936828613281e+01	1.209449005126953125e+01
1.256086730957031250e+01	1.212812042236328125e+01
1.114329338073730469e+01	9.101690292358398438e+00
1.816288828849792480e+00	6.153729915618896484e+00
1.665745162963867188e+01	2.008649063110351562e+01
1.816288828849792480e+00	1.311450958251953125e+01
1.816288828849792480e+00	1.333868980407714844e+01
1.584527778625488281e+01	1.629785919189453125e+01
1.053271102905273438e+01	1.502003002166748047e+01
1.529174041748046875e+01	1.614093017578125000e+01
1.626818656921386719e+01	1.898801040649414062e+01
1.632474327087402344e+01	1.721698951721191406e+01
1.078124046325683594e+01	1.346199035644531250e+01
1.816288828849792480e+00	1.600642013549804688e+01
1.816288828849792480e+00	1.225142002105712891e+01
1.816288828849792480e+00	2.174540042877197266e+00
1.816288828849792480e+00	1.132106971740722656e+01
1.521156120300292969e+01	1.457166957855224609e+01
1.816288828849792480e+00	1.266615009307861328e+01
1.816288828849792480e+00	1.899921989440917969e+01
1.115805816650390625e+01	1.055885982513427734e+01
1.253358459472656250e+01	1.670137977600097656e+01
1.316752052307128906e+01	1.657807922363281250e+01
1.816288828849792480e+00	1.412331962585449219e+01
1.267388343811035156e+01	1.513212013244628906e+01
1.019737625122070312e+01	1.383187961578369141e+01
1.366592407226562500e+01	1.320417976379394531e+01
1.313359832763671875e+01	1.468375968933105469e+01
1.426249313354492188e+01	1.493035984039306641e+01
1.277273368835449219e+01	1.305846023559570312e+01
1.048851394653320312e+01	9.718190193176269531e+00
1.816288828849792480e+00	1.126500010490417480e+00
1.816288828849792480e+00	2.702490091323852539e+00
1.413862228393554688e+01	1.602883911132812500e+01
1.104136562347412109e+01	8.709380149841308594e+00
1.816288828849792480e+00	4.710010051727294922e+00
1.816288828849792480e+00	9.430000305175781250e+00
1.816288828849792480e+00	1.012170982360839844e+01
1.048851394653320312e+01	8.182559967041015625e+00
1.503459548950195312e+01	1.535630035400390625e+01
1.816288828849792480e+00	2.231707954406738281e+01
2.814292907714843750e+00	1.067094993591308594e+01
1.816288828849792480e+00	1.524420022964477539e+00
1.307948493957519531e+01	1.240834045410156250e+01
1.816288828849792480e+00	1.171337985992431641e+01
1.452349853515625000e+01	1.275582027435302734e+01
1.273766708374023438e+01	1.490793991088867188e+01
1.680215644836425781e+01	1.640995025634765625e+01
1.816288828849792480e+00	2.678950071334838867e+00
