Predicted	Measured
1.253924846649169922e+01	1.240834045410156250e+01
2.233762359619140625e+01	1.625301933288574219e+01
1.189446258544921875e+01	1.209449005126953125e+01
6.349680900573730469e+00	6.153729915618896484e+00
1.666228866577148438e+01	1.640995025634765625e+01
9.791234016418457031e+00	6.859899997711181641e+00
1.359901142120361328e+01	1.600642013549804688e+01
3.789915800094604492e+00	1.281970024108886719e+00
1.537121677398681641e+01	1.305846023559570312e+01
5.757159233093261719e+00	2.174540042877197266e+00
9.733071327209472656e+00	1.266615009307861328e+01
1.803824234008789062e+01	1.898801040649414062e+01
8.879528999328613281e+00	4.864699840545654297e+00
1.066855239868164062e+01	1.210569953918457031e+01
1.383054161071777344e+01	1.759810066223144531e+01
1.579986763000488281e+01	8.182559967041015625e+00
1.378736209869384766e+01	1.359648990631103516e+01
1.095378971099853516e+01	1.225142002105712891e+01
1.504567241668701172e+01	8.048049926757812500e+00
9.150816917419433594e+00	2.629630088806152344e+00
1.265544223785400391e+01	1.899921989440917969e+01
1.193157291412353516e+01	1.334990024566650391e+01
1.094147396087646484e+01	8.709380149841308594e+00
1.316909885406494141e+01	1.376463031768798828e+01
1.528504657745361328e+01	1.721698951721191406e+01
1.171898269653320312e+01	1.431387042999267578e+01
8.058037757873535156e+00	1.244196987152099609e+01
9.638915061950683594e+00	9.430000305175781250e+00
1.284371280670166016e+01	1.338352012634277344e+01
1.291164493560791016e+01	1.281186008453369141e+01
1.901514434814453125e+01	1.524420022964477539e+00
1.422412586212158203e+01	1.345077991485595703e+01
8.588099479675292969e+00	9.751810073852539062e+00
1.165607929229736328e+01	1.212812042236328125e+01
1.369225025177001953e+01	1.681347084045410156e+01
1.172208118438720703e+01	1.165734004974365234e+01
9.669820785522460938e+00	1.636510014533996582e+00
1.273107624053955078e+01	1.320417976379394531e+01
1.141396236419677734e+01	1.107446956634521484e+01
1.417722225189208984e+01	1.602883911132812500e+01
2.848337411880493164e+00	1.434749960899353027e+00
1.674648475646972656e+01	1.947000026702880859e+00
1.306080532073974609e+01	1.277824020385742188e+01
1.283131313323974609e+01	2.230587005615234375e+01
1.398508167266845703e+01	1.614093017578125000e+01
8.948682785034179688e+00	1.132106971740722656e+01
1.093321228027343750e+01	3.710170030593872070e+00
1.697961044311523438e+01	1.573740959167480469e+01
1.415009593963623047e+01	1.912252044677734375e+01
8.862004280090332031e+00	3.046600103378295898e+00
7.557144165039062500e+00	1.422420024871826172e+01
8.915781974792480469e+00	2.119620084762573242e+00
1.097353267669677734e+01	1.209449005126953125e+01
1.644525718688964844e+01	2.008649063110351562e+01
1.433126068115234375e+01	1.361890983581542969e+01
1.477055931091308594e+01	1.336110973358154297e+01
1.442290115356445312e+01	1.210569953918457031e+01
1.443839836120605469e+01	1.266615009307861328e+01
1.174070644378662109e+01	1.156766986846923828e+01
1.285336017608642578e+01	1.468375968933105469e+01
8.883720397949218750e+00	1.346199035644531250e+01
1.080944156646728516e+01	1.201603031158447266e+01
7.826970100402832031e+00	1.067094993591308594e+01
1.348068904876708984e+01	1.493035984039306641e+01
1.129778194427490234e+01	1.008808040618896484e+01
1.064718151092529297e+01	9.718190193176269531e+00
1.268156337738037109e+01	1.670137977600097656e+01
1.390775966644287109e+01	1.383187961578369141e+01
1.760642242431640625e+01	1.871899962425231934e+00
1.100080680847167969e+01	1.232987976074218750e+01
1.572429943084716797e+01	1.604005050659179688e+01
1.009933757781982422e+01	1.171337985992431641e+01
1.046794223785400391e+01	4.710010051727294922e+00
1.233089065551757812e+01	1.300242042541503906e+01
1.075599956512451172e+01	1.368616962432861328e+01
1.487571430206298828e+01	1.643236923217773438e+01
1.413546371459960938e+01	1.513212013244628906e+01
1.351516532897949219e+01	1.604005050659179688e+01
8.896018028259277344e+00	1.055885982513427734e+01
1.187014007568359375e+01	1.535630035400390625e+01
1.228732967376708984e+01	1.340594005584716797e+01
1.600796508789062500e+01	1.629785919189453125e+01
1.474377155303955078e+01	1.457166957855224609e+01
2.168559074401855469e+00	1.126500010490417480e+00
6.301249504089355469e+00	4.259409904479980469e+00
1.602055740356445312e+01	1.714974021911621094e+01
7.384132385253906250e+00	1.347319030761718750e+01
1.274439716339111328e+01	1.311450958251953125e+01
1.289678478240966797e+01	1.275582027435302734e+01
1.361648464202880859e+01	1.258769035339355469e+01
1.467036056518554688e+01	1.580465984344482422e+01
1.449405574798583984e+01	1.657807922363281250e+01
1.437921047210693359e+01	1.274460983276367188e+01
1.430892276763916016e+01	1.737392044067382812e+01
7.713387489318847656e+00	1.490793991088867188e+01
9.644518852233886719e+00	7.745409965515136719e+00
1.112650203704833984e+01	3.060050010681152344e+00
1.074138736724853516e+01	1.146679019927978516e+01
1.399003028869628906e+01	1.782228088378906250e+01
1.264190292358398438e+01	1.333868980407714844e+01
1.192649459838867188e+01	9.415539741516113281e+00
1.351928806304931641e+01	9.919949531555175781e+00
1.193409442901611328e+01	1.412331962585449219e+01
1.439991188049316406e+01	1.502003002166748047e+01
1.273572063446044922e+01	2.702490091323852539e+00
9.047231674194335938e+00	4.959969997406005859e+00
1.493820858001708984e+01	1.422420024871826172e+01
1.353600502014160156e+01	1.345077991485595703e+01
3.847112178802490234e+00	2.369580030441284180e+00
1.207270908355712891e+01	1.098480033874511719e+01
8.133839607238769531e+00	4.010000228881835938e+00
1.287364482879638672e+01	1.635390090942382812e+01
1.282418632507324219e+01	1.692555999755859375e+01
1.104674339294433594e+01	1.154524993896484375e+01
1.113698101043701172e+01	1.012170982360839844e+01
1.366901302337646484e+01	1.482948017120361328e+01
1.400221061706542969e+01	2.231707954406738281e+01
1.382108211517333984e+01	1.681347084045410156e+01
1.018071460723876953e+01	1.378705024719238281e+01
5.421382904052734375e+00	1.000000000000000000e+00
8.546681404113769531e+00	1.032347011566162109e+01
1.409985828399658203e+01	1.912252044677734375e+01
9.499699592590332031e+00	2.219379901885986328e+00
8.445175170898437500e+00	2.678950071334838867e+00
7.292752265930175781e+00	9.101690292358398438e+00
1.105619621276855469e+01	1.490793991088867188e+01
