Predicted	Measured
1.307353687286376953e+01	1.345077991485595703e+01
1.886372375488281250e+01	1.604005050659179688e+01
1.777962803840637207e+00	1.580465984344482422e+01
2.891910552978515625e+00	1.600642013549804688e+01
1.091985511779785156e+01	1.490793991088867188e+01
4.167237281799316406e+00	1.333868980407714844e+01
8.309720039367675781e+00	1.502003002166748047e+01
1.144327354431152344e+01	1.210569953918457031e+01
1.682769393920898438e+01	1.898801040649414062e+01
9.396849632263183594e+00	9.101690292358398438e+00
9.765953063964843750e+00	1.636510014533996582e+00
9.443736076354980469e+00	1.281970024108886719e+00
1.156551456451416016e+01	1.346199035644531250e+01
7.643510818481445312e+00	7.745409965515136719e+00
1.094293022155761719e+01	2.678950071334838867e+00
1.105281639099121094e+01	1.431387042999267578e+01
1.578280544281005859e+01	1.493035984039306641e+01
4.138306140899658203e+00	2.231707954406738281e+01
1.233294296264648438e+01	1.209449005126953125e+01
1.369955730438232422e+01	1.670137977600097656e+01
1.193921566009521484e+01	9.919949531555175781e+00
6.711734771728515625e+00	1.225142002105712891e+01
8.353339195251464844e+00	1.098480033874511719e+01
1.689621925354003906e+01	1.300242042541503906e+01
1.246995258331298828e+01	1.468375968933105469e+01
1.188911533355712891e+01	1.721698951721191406e+01
2.077762413024902344e+01	1.573740959167480469e+01
1.720699310302734375e+01	1.604005050659179688e+01
1.382159042358398438e+01	1.334990024566650391e+01
1.166238689422607422e+01	1.032347011566162109e+01
1.140318298339843750e+01	8.709380149841308594e+00
7.404981613159179688e+00	1.156766986846923828e+01
1.302171993255615234e+01	1.209449005126953125e+01
1.427418994903564453e+01	1.513212013244628906e+01
8.990140914916992188e+00	4.864699840545654297e+00
8.096799850463867188e+00	8.182559967041015625e+00
1.777962803840637207e+00	4.010000228881835938e+00
1.241934013366699219e+01	1.240834045410156250e+01
5.067496299743652344e+00	1.266615009307861328e+01
2.011984443664550781e+01	1.714974021911621094e+01
1.342435741424560547e+01	1.274460983276367188e+01
1.469314861297607422e+01	1.210569953918457031e+01
1.031813335418701172e+01	1.871899962425231934e+00
7.849807739257812500e+00	1.635390090942382812e+01
