Predicted	Measured
1.127046489715576172e+01	1.032347011566162109e+01
1.377730464935302734e+01	1.209449005126953125e+01
2.110932350158691406e+00	1.171337985992431641e+01
1.405720233917236328e+01	9.101690292358398438e+00
2.327969074249267578e+00	1.338352012634277344e+01
1.681511116027832031e+01	1.681347084045410156e+01
1.424895858764648438e+01	1.300242042541503906e+01
4.411474466323852539e-01	1.524420022964477539e+00
1.439182186126708984e+01	1.721698951721191406e+01
1.857559919357299805e+00	1.225142002105712891e+01
1.823407173156738281e+00	1.681347084045410156e+01
2.101353645324707031e+00	1.311450958251953125e+01
1.716536331176757812e+01	1.573740959167480469e+01
1.306816387176513672e+01	9.415539741516113281e+00
1.934385895729064941e+00	2.230587005615234375e+01
1.519287109375000000e+01	1.345077991485595703e+01
1.472442340850830078e+01	1.275582027435302734e+01
1.532314395904541016e+01	1.493035984039306641e+01
1.399891185760498047e+01	1.643236923217773438e+01
1.715608406066894531e+01	1.640995025634765625e+01
1.262449932098388672e+01	1.346199035644531250e+01
2.121383190155029297e+00	1.132106971740722656e+01
1.502407169342041016e+01	1.277824020385742188e+01
2.405248880386352539e+00	1.782228088378906250e+01
1.719246625900268555e+00	3.710170030593872070e+00
2.062258958816528320e+00	1.412331962585449219e+01
1.207024097442626953e+01	1.232987976074218750e+01
1.706079292297363281e+01	2.008649063110351562e+01
2.299005508422851562e+00	1.000000000000000000e+00
1.779730081558227539e+00	1.737392044067382812e+01
6.431933403015136719e+00	1.340594005584716797e+01
1.565030860900878906e+01	1.535630035400390625e+01
1.173762035369873047e+01	1.201603031158447266e+01
1.564359378814697266e+01	1.457166957855224609e+01
2.102255821228027344e+00	1.431387042999267578e+01
1.609378433227539062e+01	1.657807922363281250e+01
1.949882268905639648e+00	1.378705024719238281e+01
2.148374319076538086e+00	1.146679019927978516e+01
1.607185935974121094e+01	1.165734004974365234e+01
1.062079524993896484e+01	4.010000228881835938e+00
1.439404964447021484e+01	1.209449005126953125e+01
1.651742935180664062e+00	2.702490091323852539e+00
1.895577049255371094e+01	1.604005050659179688e+01
1.335986042022705078e+01	1.670137977600097656e+01
1.619937133789062500e+01	1.912252044677734375e+01
7.655431628227233887e-01	1.871899962425231934e+00
1.301642131805419922e+01	1.422420024871826172e+01
1.647902488708496094e+00	1.281970024108886719e+00
1.699283123016357422e+00	1.098480033874511719e+01
1.697625398635864258e+00	4.959969997406005859e+00
1.724485588073730469e+01	1.912252044677734375e+01
1.984747409820556641e+00	1.899921989440917969e+01
1.232923603057861328e+01	1.008808040618896484e+01
1.919360876083374023e+00	6.153729915618896484e+00
1.149532413482666016e+01	1.055885982513427734e+01
1.210213661193847656e+01	1.244196987152099609e+01
1.589018630981445312e+01	1.359648990631103516e+01
1.409977817535400391e+01	1.305846023559570312e+01
1.756617307662963867e+00	1.434749960899353027e+00
1.553003597259521484e+01	1.376463031768798828e+01
1.611999750137329102e+00	4.710010051727294922e+00
2.014620780944824219e+00	9.751810073852539062e+00
1.375646114349365234e+01	1.240834045410156250e+01
1.931619167327880859e+00	1.759810066223144531e+01
1.286375904083251953e+01	1.368616962432861328e+01
1.383358097076416016e+01	1.274460983276367188e+01
1.929427862167358398e+00	1.266615009307861328e+01
1.714107990264892578e+00	4.259409904479980469e+00
1.695054769515991211e+00	1.156766986846923828e+01
1.775623798370361328e+00	2.629630088806152344e+00
1.780611753463745117e+00	4.864699840545654297e+00
6.935529708862304688e+00	1.502003002166748047e+01
1.304496860504150391e+01	1.107446956634521484e+01
2.085309267044067383e+00	1.580465984344482422e+01
1.510497951507568359e+01	1.513212013244628906e+01
1.491401433944702148e+00	1.636510014533996582e+00
1.961647033691406250e+00	2.231707954406738281e+01
3.061706542968750000e+00	1.333868980407714844e+01
1.502899456024169922e+01	1.320417976379394531e+01
1.896550416946411133e+00	1.600642013549804688e+01
1.175858497619628906e+01	1.490793991088867188e+01
1.816042900085449219e+00	2.219379901885986328e+00
9.421857833862304688e+00	1.212812042236328125e+01
1.389753437042236328e+01	9.919949531555175781e+00
1.455606555938720703e+01	1.422420024871826172e+01
1.132189941406250000e+01	8.709380149841308594e+00
2.297620058059692383e+00	2.678950071334838867e+00
1.503152942657470703e+01	1.210569953918457031e+01
9.829493522644042969e+00	1.154524993896484375e+01
1.377276325225830078e+01	1.602883911132812500e+01
1.797278642654418945e+00	7.745409965515136719e+00
9.835733413696289062e+00	9.718190193176269531e+00
1.456148624420166016e+01	1.345077991485595703e+01
1.428704166412353516e+01	1.468375968933105469e+01
1.604772329330444336e+00	8.048049926757812500e+00
1.514336585998535156e+01	1.361890983581542969e+01
1.850262880325317383e+00	9.430000305175781250e+00
1.805468440055847168e+00	1.126500010490417480e+00
4.866362094879150391e+00	1.482948017120361328e+01
2.105408668518066406e+00	8.182559967041015625e+00
1.863208293914794922e+00	1.258769035339355469e+01
1.790328216552734375e+01	1.714974021911621094e+01
1.818198919296264648e+00	2.174540042877197266e+00
2.131421327590942383e+00	1.336110973358154297e+01
1.659150314331054688e+01	1.604005050659179688e+01
1.224336147308349609e+01	1.210569953918457031e+01
1.763713598251342773e+00	3.060050010681152344e+00
1.237957572937011719e+01	1.266615009307861328e+01
2.200887680053710938e+00	1.067094993591308594e+01
1.713451862335205078e+00	3.046600103378295898e+00
1.871360182762145996e+00	2.369580030441284180e+00
1.477049160003662109e+01	1.334990024566650391e+01
1.343593120574951172e+01	1.281186008453369141e+01
1.915967583656311035e+00	6.859899997711181641e+00
1.269363021850585938e+01	1.347319030761718750e+01
1.576694583892822266e+01	1.614093017578125000e+01
1.765439224243164062e+01	1.625301933288574219e+01
1.577487850189208984e+01	1.629785919189453125e+01
1.103497028350830078e+01	1.490793991088867188e+01
1.558536243438720703e+01	1.383187961578369141e+01
1.761832618713378906e+01	1.898801040649414062e+01
1.693716049194335938e+00	2.119620084762573242e+00
1.358712482452392578e+01	1.692555999755859375e+01
1.684449315071105957e+00	1.012170982360839844e+01
1.964234590530395508e+00	1.635390090942382812e+01
8.831744790077209473e-01	1.947000026702880859e+00
