Predicted	Measured
1.048831844329833984e+01	1.154524993896484375e+01
9.843850135803222656e+00	6.859899997711181641e+00
6.499899864196777344e+00	1.000000000000000000e+00
1.200289058685302734e+01	1.346199035644531250e+01
1.319861507415771484e+01	1.165734004974365234e+01
1.089286136627197266e+01	1.107446956634521484e+01
1.311479473114013672e+01	1.359648990631103516e+01
9.446564674377441406e+00	9.430000305175781250e+00
1.415588760375976562e+01	1.274460983276367188e+01
1.526625537872314453e+01	1.629785919189453125e+01
8.151653289794921875e+00	2.629630088806152344e+00
1.382958698272705078e+01	1.681347084045410156e+01
1.304348373413085938e+01	1.899921989440917969e+01
1.405969715118408203e+01	1.266615009307861328e+01
6.443192481994628906e+00	9.101690292358398438e+00
1.361171054840087891e+01	2.231707954406738281e+01
1.731378364562988281e+01	1.871899962425231934e+00
1.014851284027099609e+01	4.710010051727294922e+00
1.443148136138916016e+01	1.643236923217773438e+01
1.448106956481933594e+01	1.912252044677734375e+01
8.329168319702148438e+00	1.422420024871826172e+01
1.279288959503173828e+01	2.702490091323852539e+00
1.307481479644775391e+01	1.383187961578369141e+01
1.098747825622558594e+01	1.232987976074218750e+01
1.115867137908935547e+01	1.008808040618896484e+01
1.167592906951904297e+01	1.156766986846923828e+01
1.382927608489990234e+01	8.182559967041015625e+00
1.299135494232177734e+01	1.692555999755859375e+01
1.114778995513916016e+01	2.230587005615234375e+01
4.804546356201171875e+00	2.174540042877197266e+00
1.115113258361816406e+01	3.060050010681152344e+00
7.131433486938476562e+00	2.678950071334838867e+00
1.448424434661865234e+01	1.457166957855224609e+01
1.096762561798095703e+01	1.146679019927978516e+01
1.425255584716796875e+01	1.305846023559570312e+01
1.167265796661376953e+01	1.266615009307861328e+01
1.257439327239990234e+01	1.320417976379394531e+01
8.521433830261230469e+00	4.959969997406005859e+00
1.408726596832275391e+01	1.336110973358154297e+01
9.932652473449707031e+00	8.709380149841308594e+00
1.193280315399169922e+01	1.209449005126953125e+01
1.449026584625244141e+01	1.737392044067382812e+01
1.096979808807373047e+01	1.012170982360839844e+01
2.493351936340332031e+00	1.126500010490417480e+00
1.408395290374755859e+01	1.422420024871826172e+01
1.320751285552978516e+01	1.468375968933105469e+01
8.107419967651367188e+00	1.055885982513427734e+01
1.198111248016357422e+01	1.311450958251953125e+01
2.716213607788085938e+01	1.625301933288574219e+01
1.328522396087646484e+01	1.670137977600097656e+01
1.281138992309570312e+01	1.258769035339355469e+01
1.176250553131103516e+01	1.340594005584716797e+01
1.289305591583251953e+01	1.277824020385742188e+01
1.208986186981201172e+01	1.333868980407714844e+01
